          x                  y                  dy                  ddy                  q                  Jz                  EF0                  EF1                  EF2
 -3.6875000     -1.693912328559371      1.717075553773707     -0.992430793187292     -0.122805214573445     -0.992430793190926     -0.012297413226034      0.055855548274626     -0.058041078446453
 -3.6796875     -1.680527978670233      1.709315994614986     -0.993985520968732     -0.109511570632885     -0.993985520969757     -0.012283575044873      0.055721437683899     -0.057887391777064
 -3.6718750     -1.667204295907450      1.701545008896620     -0.995356350118900     -0.096258694578974     -0.995356350116857     -0.012269610208522      0.055585083206120     -0.057731044938115
 -3.6640625     -1.653941363950778      1.693764024904265     -0.996545442223255     -0.083049271976265     -0.996545442227404     -0.012255528785753      0.055446535294541     -0.057572091812545
 -3.6562500     -1.640739255387786      1.685974453911587     -0.997554990368915     -0.069885915584408     -0.997554990365408     -0.012241340791257      0.055305844119545     -0.057410585993221
 -3.6484375     -1.627598031847698      1.678177689943155     -0.998387216849167     -0.056771165490707     -0.998387216849668     -0.012227056183440      0.055163059553731     -0.057246580766407
 -3.6406250     -1.614517744137020      1.670375109554822     -0.999044371077726     -0.043707489304306     -0.999044371076037     -0.012212684862320      0.055018231157529     -0.057080129095822
 -3.6328125     -1.601498432376822      1.662568071629753     -0.999528727378394     -0.030697282409772     -0.999528727377385     -0.012198236667523      0.054871408165364     -0.056911283607283
 -3.6250000     -1.588540126141545      1.654757917192910     -0.999842582916486     -0.017742868277865     -0.999842582922569     -0.012183721376371      0.054722639472351     -0.056740096573918
 -3.6171875     -1.575642844599190      1.646945969239585     -0.999988255658621     -0.004846498831220     -0.999988255655575     -0.012169148702063      0.054571973621528     -0.056566619901967
 -3.6093750     -1.562806596652796      1.639133532581898     -0.999968082275497      0.007989645137253     -0.999968082275920     -0.012154528291962      0.054419458791613     -0.056390905117142
 -3.6015625     -1.550031381083036      1.631321893709650     -0.999784416261125      0.020763453495536     -0.999784416261295     -0.012139869725956      0.054265142785288     -0.056213003351565
 -3.5937500     -1.537317186691871      1.623512320666759     -0.999439625932506      0.033472886255408     -0.999439625933319     -0.012125182514929      0.054109073018001     -0.056032965331258
 -3.5859375     -1.524663992447068      1.615706062942953     -0.998936092569028      0.046115973009352     -0.998936092567188     -0.012110476099310      0.053951296507283     -0.055850841364197
 -3.5781250     -1.512071767627555      1.607904351379496     -0.998276208546613      0.058690812323614     -0.998276208545909     -0.012095759847716      0.053791859862570     -0.055666681328908
 -3.5703125     -1.499540471969414      1.600108398089892     -0.997462375560733      0.071195571089638     -0.997462375559710     -0.012081043055684      0.053630809275527     -0.055480534663615
 -3.5625000     -1.487070055812472      1.592319396393515     -0.996497002851729      0.083628483835980     -0.996497002851135     -0.012066334944484      0.053468190510866     -0.055292450355914
 -3.5546875     -1.474660460247329      1.584538520763926     -0.995382505504395      0.095987852002887     -0.995382505506236     -0.012051644660024      0.053304048897658     -0.055102476932984
 -3.5468750     -1.462311617262767      1.576766926789119     -0.994121302790337      0.108272043181593     -0.994121302792211     -0.012036981271829      0.053138429321109     -0.054910662452318
 -3.5390625     -1.450023449893391      1.569005751145761     -0.992715816542866      0.120479490320429     -0.992715816541738     -0.012022353772113      0.052971376214830     -0.054717054492960
 -3.5312500     -1.437795872367447      1.561256111584790     -0.991168469586906      0.132608690899782     -0.991168469584180     -0.012007771074920      0.052802933553553     -0.054521700147259
 -3.5234375     -1.425628790254687      1.553519106930182     -0.989481684222579      0.144658206077896     -0.989481684223778     -0.011993242015351      0.052633144846312     -0.054324646013108
 -3.5156250     -1.413522100614206      1.545795817088255     -0.987657880762985      0.156626659809487     -0.987657880764854     -0.011978775348865      0.052462053130074     -0.054125938186674
 -3.5078125     -1.401475692142164      1.538087303069352     -0.985699476085543      0.168512737939090     -0.985699476084000     -0.011964379750653      0.052289700963803     -0.053925622255613
 -3.5000000     -1.389489445319287      1.530394607019680     -0.983608882248088      0.180315187271032     -0.983608882249145     -0.011950063815091      0.052116130422958     -0.053723743292744
 -3.4921875     -1.377563232558088      1.522718752264602     -0.981388505184000      0.192032814617855     -0.981388505185355     -0.011935836055258      0.051941383094417     -0.053520345850188
 -3.4843750     -1.365696918349699      1.515060743361014     -0.979040743389026      0.203664485829014     -0.979040743387119     -0.011921704902531      0.051765500071806     -0.053315473953959
 -3.4765625     -1.353890359410264      1.507421566161023     -0.976567986674945      0.215209124801564     -0.976567986676885     -0.011907678706238      0.051588521951238     -0.053109171098989
 -3.4687500     -1.342143404826789      1.499802187883768     -0.973972615011689      0.226665712474595     -0.973972615009470     -0.011893765733390      0.051410488827440     -0.052901480244590
 -3.4609375     -1.330455896202408      1.492203557197412     -0.971256997321580      0.238033285809000     -0.971256997322012     -0.011879974168466      0.051231440290274     -0.052692443810333
 -3.4531250     -1.318827667800949      1.484626604309470     -0.968423490430093      0.249310936754282     -0.968423490429008     -0.011866312113269      0.051051415421624     -0.052482103672337
 -3.4453125     -1.307258546690796      1.477072241065541     -0.965474437960060      0.260497811203868     -0.965474437961976     -0.011852787586840      0.050870452792658     -0.052270501159961
 -3.4375000     -1.295748352887914      1.469541361056621     -0.962412169352888      0.271593107940521     -0.962412169353239     -0.011839408525426      0.050688590461436     -0.052057677052884
 -3.4296875     -1.284296899498029      1.462034839733368     -0.959238998865013      0.282596077573264     -0.959238998863269     -0.011826182782515      0.050505865970877     -0.051843671578562
 -3.4218750     -1.272903992857868      1.454553534528925     -0.955957224651934      0.293506021467264     -0.955957224651008     -0.011813118128923      0.050322316347054     -0.051628524410065
 -3.4140625     -1.261569432675430      1.447098284987570     -0.952569127884800      0.304322290668022     -0.952569127886563     -0.011800222252930      0.050137978097818     -0.051412274664257
 -3.4062500     -1.250293012169207      1.439669912901353     -0.949076971901144      0.315044284821207     -0.949076971905595     -0.011787502760471      0.049952887211747     -0.051194960900342
 -3.3984375     -1.239074518206329      1.432269222451993     -0.945483001408221      0.325671451089374     -0.945483001404754     -0.011774967175384      0.049767079157396     -0.050976621118735
 -3.3906250     -1.227913731439559      1.424897000360039     -0.941789441682312      0.336203283066811     -0.941789441677437     -0.011762622939695      0.049580588882851     -0.050757292760272
 -3.3828125     -1.216810426443116      1.417554016039077     -0.937998497888884      0.346639319693677     -0.937998497889152     -0.011750477413961      0.049393450815565     -0.050537012705730
 -3.3750000     -1.205764371847262      1.410241021755743     -0.934112354388043      0.356979144170535     -0.934112354391736     -0.011738537877645      0.049205698862489     -0.050315817275661
 -3.3671875     -1.194775330471619      1.402958752794710     -0.930133174074930      0.367222382874383     -0.930133174075659     -0.011726811529553      0.049017366410457     -0.050093742230521
 -3.3593750     -1.183843059457182      1.395707927628985     -0.926063097759453      0.377368704277182     -0.926063097759629     -0.011715305488291      0.048828486326845     -0.049870822771091
 -3.3515625     -1.172967310396978      1.388489248094537     -0.921904243617078      0.387417817867877     -0.921904243616707     -0.011704026792783      0.048639090960475     -0.049647093539173
 -3.3437500     -1.162147829465348      1.381303399569306     -0.917658706634938      0.397369473078828     -0.917658706636108     -0.011692982402811      0.048449212142768     -0.049422588618552
 -3.3359375     -1.151384357545814      1.374151051156383     -0.913328558120142      0.407223458217551     -0.913328558119880     -0.011682179199601      0.048258881189130     -0.049197341536227
 -3.3281250     -1.140676630357494      1.367032855870784     -0.908915845214665      0.416979599404605     -0.908915845213612     -0.011671623986446      0.048068128900558     -0.048971385263880
 -3.3203125     -1.130024378580052      1.359949450830120     -0.904422590471370      0.426637759518415     -0.904422590470355     -0.011661323489351      0.047876985565470     -0.048744752219592
 -3.3125000     -1.119427327977143      1.352901457448075     -0.899850791447156      0.436197837147799     -0.899850791446883     -0.011651284357727      0.047685480961742     -0.048517474269785
